card,points,location_1,location_2,location_3
1,4,Glacierfall,Westgate,
2,4,Silverlake,Redmoore,
3,4,Frostpeak,Stonefield,
4,4,Highridge,Eldenwood,
5,4,Seabreeze,Sunvale,
6,4,Northwatch,Coralbay,
7,4,Ironholt,Oakridge,
8,4,Northwatch,Aridale,
9,4,Ironholt,Dustmere,
10,4,Seabreeze,Brightwood,
11,4,Silverlake,Stonefield,
12,4,Highridge,Meadowbrook,
13,4,Redmoore,Tidewatch,
14,4,Glacierfall,Meadowbrook,
15,4,Frostpeak,Brightwood,
16,4,Silverlake,Stonehollow,
17,4,Westgate,Aridale,
18,4,Frostpeak,Seabreeze,
19,4,Glacierfall,Stonefield,
20,4,Highridge,Sunvale,
21,4,Westgate,Eldenwood,
22,4,Ironholt,Coralbay,
23,4,Northwatch,Stonehollow,
24,4,Tidewatch,Oakridge,
25,4,Redmoore,Dustmere,
26,8,Highridge,Oakridge,Aridale
27,8,Tidewatch,Meadowbrook,Stonehollow
28,8,Eldenwood,Sunvale,Dustmere
29,8,Westgate,Seabreeze,Brightwood
30,8,Silverlake,Stonefield,Coralbay
31,8,Ironholt,Tidewatch,Brightwood
32,8,Glacierfall,Redmoore,Stonehollow
33,8,Westgate,Eldenwood,Dustmere
34,8,Ironholt,Seabreeze,Aridale
35,8,Coralbay,Oakridge,Sunvale
36,8,Frostpeak,Stonefield,Oakridge
37,8,Glacierfall,Highridge,Meadowbrook
38,8,Northwatch,Westgate,Meadowbrook
39,8,Silverlake,Stonefield,Stonehollow
40,8,Redmoore,Tidewatch,Brightwood
41,8,Highridge,Sunvale,Dustmere
42,8,Northwatch,Ironholt,Seabreeze
43,8,Coralbay,Eldenwood,Sunvale
44,8,Frostpeak,Redmoore,Aridale
45,8,Meadowbrook,Brightwood,Stonehollow
46,8,Northwatch,Stonefield,Aridale
47,8,Silverlake,Seabreeze,Dustmere
48,8,Highridge,Tidewatch,Oakridge
49,8,Glacierfall,Westgate,Coralbay
50,8,Frostpeak,Ironholt,Eldenwood
